initial_weight_kg,age_days,sex_male,bos_indicus_proportion_pct,supplement_amount_kg_day,supplement_crude_protein_pct,supplement_metabolizable_energy,supplementation_frequency_days_week,forage_crude_protein_pct,forage_digestibility_pct,days_on_pasture,paddock_rotation,transport_stress,mean_temperature_c,accumulated_rainfall_mm,days_since_health_event,health_event_duration_days,recent_vaccination,recent_deworming,adg_kg_day
164,530,0,50.0,0.492,35,2.2,7,6.58,53.8,148,1,0,24.0,202.4,0,0,0,0,0.0
204,530,0,50.0,0.618,35,2.2,7,6.58,53.8,43,1,0,24.0,202.4,0,0,0,0,0.465116279069767
149,530,0,50.0,0.564,35,2.2,7,6.58,53.8,154,1,0,24.0,202.4,0,0,0,0,0.253246753246753
224,530,0,50.0,0.657,35,2.2,7,11.35,63.0,43,1,0,31.0,202.4,0,0,0,0,-0.116279069767442
283,530,0,50.0,0.84,35,2.2,7,11.35,63.0,43,1,0,31.0,202.4,0,0,0,0,-0.697674418604651
166,530,0,50.0,0.498,35,2.2,7,11.35,63.0,148,1,0,31.0,202.4,0,0,0,0,0.0
302,530,0,50.0,0.906,35,2.2,7,11.35,63.0,148,1,0,31.0,202.4,0,0,0,0,0.0
268,530,0,50.0,0.81,35,2.2,7,11.35,63.0,43,1,0,31.0,202.4,0,0,0,0,0.465116279069767
162,530,0,50.0,0.597,35,2.2,7,11.35,63.0,154,1,0,31.0,202.4,0,0,0,0,0.24025974025974
186,530,0,50.0,0.558,35,2.2,7,11.35,63.0,148,1,0,31.0,202.4,0,0,0,0,0.0
124,530,0,50.0,0.567,35,2.2,7,11.35,63.0,154,1,0,31.0,202.4,0,0,0,0,0.422077922077922
197,530,0,50.0,0.78,35,2.2,7,11.35,63.0,154,1,0,31.0,202.4,0,0,0,0,0.409090909090909
224,530,0,50.0,1.680,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.365650969529086
246,530,0,50.0,1.80,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.315789473684211
110,530,0,50.0,0.33,35,2.2,7,5.62,51.5,566,1,0,23.0,15.2,0,0,0,0,0.0
109,530,0,50.0,0.906,35,2.2,7,5.62,51.5,566,1,0,23.0,15.2,0,0,0,0,0.340989399293286
137,530,0,50.0,1.470,35,2.2,7,5.62,51.5,566,1,0,23.0,15.2,0,0,0,0,0.374558303886926
89,530,0,50.0,1.110,35,2.2,7,5.62,51.5,566,1,0,23.0,15.2,0,0,0,0,0.438162544169611
138,530,0,50.0,1.149,35,2.2,7,5.62,51.5,525,1,0,23.0,15.2,0,0,0,0,0.466666666666667
133,530,0,50.0,0.975,35,2.2,7,5.62,51.5,525,1,0,23.0,15.2,0,0,0,0,0.365714285714286
132,530,0,50.0,1.980,35,2.2,7,5.62,51.5,525,1,0,23.0,15.2,0,0,0,0,0.445714285714286
112,530,0,50.0,1.650,35,2.2,7,5.62,51.5,566,1,0,23.0,15.2,0,0,0,0,0.429328621908127
115,530,0,50.0,1.2,35,2.2,7,5.62,51.5,566,1,0,23.0,15.2,0,0,0,0,0.503533568904594
83,530,0,50.0,0.903,35,2.2,7,5.62,51.5,891,1,0,23.0,15.2,0,0,0,0,0.244668911335578
106,530,0,50.0,0.813,35,2.2,7,5.62,51.5,776,1,0,23.0,15.2,0,0,0,0,0.212628865979381
150,530,0,50.0,0.918,35,2.2,7,5.62,51.5,539,1,0,23.0,15.2,0,0,0,0,0.289424860853432
170,530,0,50.0,0.978,35,2.2,7,5.62,51.5,449,1,0,23.0,15.2,0,0,0,0,0.347438752783964
