sexo,raca,idade_dias,peso_inicial_kg,qualidade_pasto,tipo_pasto,taxa_lotacao_ua_ha,area_pasto_ha_animal,quantidade_suplemento_kg_dia,suplementacao_acesso_livre,evento_sanitario_recente,tipo_evento_sanitario,vermifugacao_recente,vacina_recente,tratamento_recente,temperatura_media,estacao_ano,rotacao_piquete,condicao_corporal,tipo_suplementato,frequencia_suplementacao_semana,facilidade_acesso_agua,severidade_evento,estresse_transporte,estresse_manejo,dias_evento_sanitario,tipo_sistema_manejo,dias_permanecia,tipo_fonte_agua,saida_ganho_total_kg,saida_gmd_kg_dia
F,anelorada,530,98,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.672,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,126,0.328981723237598
F,anelorada,530,147,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.825,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,128,0.33420365535248
F,anelorada,530,138,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.573,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,259,poco_artesiano,53,0.204633204633205
F,anelorada,530,116,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.528,sim,nao,nao,nao,nao,nao,25,primavera,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,259,poco_artesiano,60,0.231660231660232
F,anelorada,530,121,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.573,sim,nao,nao,nao,nao,nao,25,primavera,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,259,poco_artesiano,70,0.27027027027027
F,anelorada,530,118,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.555,sim,nao,nao,nao,nao,nao,25,primavera,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,259,poco_artesiano,67,0.258687258687259
F,anelorada,530,120,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.525,sim,nao,nao,nao,nao,nao,25,primavera,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,154,poco_artesiano,55,0.357142857142857
F,anelorada,530,176,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.825,sim,nao,nao,nao,nao,nao,25,primavera,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,99,0.32890365448505
F,anelorada,530,173,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.825,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,102,0.338870431893688
F,anelorada,530,161,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.819,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,112,0.372093023255814
F,anelorada,530,134,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.789,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,129,0.428571428571429
F,anelorada,530,155,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.96,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,165,0.430809399477807
F,anelorada,530,260,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.906,sim,nao,nao,nao,nao,nao,20,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,42,0.13953488372093
F,anelorada,530,193,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.9,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,107,0.355481727574751
F,anelorada,530,183,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.798,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,83,0.275747508305648
F,anelorada,530,151,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.723,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,90,0.299003322259136
F,anelorada,530,165,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.858,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,121,0.401993355481728
F,anelorada,530,177,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.867,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,112,0.372093023255814
F,anelorada,530,153,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.651,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,64,0.212624584717608
F,anelorada,530,210,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.93,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,100,0.332225913621262
F,anelorada,530,143,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.783,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,118,0.39202657807309
F,anelorada,530,169,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.714,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,301,poco_artesiano,69,0.229235880398671
F,anelorada,530,169,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.984,sim,nao,nao,nao,nao,nao,20,inverno,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,159,0.415143603133159
F,anelorada,530,124,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.837,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,155,0.404699738903394
F,anelorada,530,112,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.549,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,259,poco_artesiano,71,0.274131274131274
